Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
31356.32,260,83,12,0,11,16,24,99,0,38,87
128930.11,4346,69,488,203,560,98,1210,335,0,1291,126
127961.32,3054,655,256,17,19,26,1041,34,0,936,96
77418.16,3651,64,785,371,234,51,1015,641,4,1022,563
106698.44,15214,61,487,135,627,436,5100,657,14,4529,638
0,0,0,0,0,0,0,0,0,0,0,0
101136.32,10897,0,34,2,26,142,2980,543,0,2454,710
46834.34,7338,292,745,284,402,79,637,1999,4,1139,1336
54419.86,5669,906,1248,393,91,94,1186,1742,0,1399,1336
102668.27,5522,512,404,252,335,216,1964,60,11,1810,141
67530.45,7183,139,1037,631,714,380,1515,1858,5,1832,1430
106133.39,13863,154,589,568,432,418,3472,1795,0,3877,958
43284.5,3450,606,1022,118,86,10,295,1582,0,440,1419
40715.2,3573,894,427,31,69,26,196,1261,9,480,944
76397.78,8188,318,1072,384,342,291,2436,626,33,2431,594
32620.2,5224,408,1122,125,51,41,489,1303,0,499,1194
55653.39,3751,342,411,267,206,102,1472,10,56,1387,87
36564.32,2118,599,209,68,68,28,168,994,6,266,810
131915.98,6740,10,80,936,749,221,1900,252,0,1721,271
48284.99,6625,888,766,446,278,90,1815,1295,29,1419,1542
97703.42,174,0,36,0,0,20,42,29,5,0,74
40000,67,50,6,0,0,0,0,60,0,0,51
93983.12,3200,178,938,23,10,3,1174,16,4,1127,42
84416.04,4467,10,20,197,480,415,1021,327,0,1019,274
46023.15,5360,1347,583,137,56,34,17,2238,0,504,1639
47604.54,4818,471,798,196,384,148,1089,1294,4,941,1324
73101.25,6706,500,821,404,428,225,2481,240,10,2019,599
78799.98,5347,202,591,576,341,111,1596,558,5,1596,468
82617.45,3680,10,83,728,93,3,855,81,0,826,51
50541.45,209,9,9,18,23,2,71,4,0,56,16
104293.73,6225,74,514,1176,432,217,1877,668,5,2107,393
84161.71,3290,0,14,35,171,741,982,253,0,841,315
43142.16,3678,577,565,204,149,29,982,580,0,551,920
90313.26,7491,127,417,786,635,379,2068,655,102,2258,522
94505.18,6134,393,579,775,162,15,1620,363,0,1483,334
87937.18,5104,10,34,54,348,467,913,1187,9,1698,316
56960.96,3744,920,330,34,36,15,1108,343,0,983,374
89142.51,4542,359,411,284,279,187,1684,191,5,1591,226
73648.92,3944,670,359,174,99,21,1334,46,0,1252,82
106125.59,6758,280,342,478,627,266,2192,213,0,2124,252
109022.55,3417,276,681,145,152,32,1216,153,0,1220,81
73964.65,7036,15,537,1319,110,19,1628,443,0,1276,641
35963.36,490,52,53,47,34,9,213,0,5,194,30
67136.56,6593,482,730,194,210,115,642,1525,4,1233,819
86658.52,4737,80,509,498,345,194,1450,357,0,1438,324
80606.7,8383,180,516,357,530,478,2736,636,6,2604,619
17842.37,15,1,1,0,0,0,10,0,0,2,0
38780.23,4923,1172,688,204,139,53,244,2131,29,704,1574
