Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
83056.54,4737,45,1430,211,53,10,1539,221,0,1564,175
32449.56,3474,647,410,155,194,30,123,1529,5,358,1188
52300.3,4770,561,666,194,104,127,116,2847,0,892,1791
184694.1,896,134,131,101,3,59,0,498,0,351,107
71233.34,7472,477,612,406,410,136,2192,368,4,2058,414
83018.83,6923,110,434,563,1303,115,2038,607,3,1905,658
119447.71,3278,607,272,47,16,23,1013,143,0,847,267
79843.05,5421,1109,972,159,100,15,1768,687,27,1656,771
67675.82,5537,334,579,354,233,170,1051,883,6,1113,714
39502.85,1116,10,48,62,74,15,336,11,0,37,1
97479.95,7158,550,374,439,456,405,2253,529,4,2102,525
30824.93,2908,234,622,89,38,71,28,1138,0,58,1032
81462.65,5913,1028,828,241,204,60,2430,96,2,2007,468
42350.44,4168,1162,468,66,106,22,1540,325,3,944,860
87298.72,4349,447,561,132,172,127,1631,10,0,1464,128
95957.21,8137,131,490,157,242,245,1710,1332,31,2160,756
66332.63,4391,440,997,116,196,99,1421,512,5,1331,542
43025.96,3669,176,1110,111,20,65,31,1635,0,508,1077
63688.73,3122,383,692,199,51,0,910,478,5,932,447
33645.11,3626,447,368,31,49,381,358,1043,0,453,852
42676.81,7365,454,1568,251,195,36,1197,1776,0,981,1729
52607.58,6888,122,128,369,1316,910,114,4185,0,1650,2274
33455.1,7846,513,1633,212,150,54,110,2799,4,554,2225
40873.57,5183,651,1147,313,247,68,1125,1487,0,925,1500
123533.77,6761,95,91,34,588,808,2148,47,0,1972,107
81727.86,3537,471,804,35,40,10,1103,280,0,1096,286
73185.55,4278,292,507,171,196,53,720,621,33,858,489
144762.07,3712,1099,84,94,17,12,1157,184,0,1110,206
48880.56,2813,586,340,172,82,50,271,1113,21,539,778
55904.38,5134,720,810,233,145,68,1314,1052,10,1412,963
38770.45,7142,172,1512,553,173,74,352,2377,0,1304,1230
95962.78,8488,0,2,0,27,701,1690,121,0,1571,111
93375.88,5801,651,677,286,269,97,2115,58,62,1857,230
113348.37,5222,536,499,327,208,87,1767,32,9,1506,190
56184.1,6117,978,1248,242,176,46,1925,838,5,1696,1022
100000,22,1,0,0,1,0,2,0,0,1,1
121667.03,3223,64,150,133,539,46,746,286,0,817,142
59020.53,2437,466,321,115,53,13,944,68,0,814,159
43746.69,4860,372,1405,436,272,45,343,2415,6,1378,1261
123937.57,6066,0,23,22,525,689,1723,344,0,1485,450
67028.66,4705,1061,365,104,427,116,1839,299,3,1569,504
57293.24,3667,275,665,370,152,43,982,569,0,755,735
59745.65,2356,199,685,0,32,21,613,347,0,570,361
162349.4,5010,0,12,556,715,325,1645,0,2,1566,32
83793.73,7752,416,810,404,615,372,2280,571,4,1943,768
87830.06,6511,32,210,1263,295,36,1242,669,0,1437,307
78676.42,6401,2,26,183,637,354,908,1116,0,1317,578
204896.66,8225,19,760,939,290,416,2440,400,46,2092,611
102088.53,3951,233,221,482,226,138,1449,35,0,1341,102
108581.11,5157,0,15,84,1386,90,1638,17,0,1415,115
36735.07,2707,918,300,84,59,29,631,840,9,365,1014
56961.27,3752,579,1143,320,193,32,129,2194,4,815,1449
115731.17,4930,114,1592,66,31,9,1536,299,0,1406,381
124171.04,7167,0,406,1441,555,3,2441,49,0,2124,199
92257.92,4084,60,1047,165,15,30,1049,303,0,1085,155
91673.67,5631,21,234,225,648,618,1668,487,14,1672,445
122483.17,4856,98,1052,256,123,21,1591,147,9,1492,167
59208.57,4130,84,762,208,148,119,861,522,198,1096,407
98595.44,5325,224,374,455,358,327,1572,683,5,1595,569
72223.65,3969,1179,226,31,30,3,418,1079,0,676,771
89471.55,7567,73,365,989,646,253,2051,628,4,2148,433
51743.95,6651,375,1571,393,212,22,1276,1408,0,976,1583
64564.8,4538,501,862,334,138,143,1373,709,4,1255,681
115981.49,18213,11,13,10,17,58,5734,176,1,4786,654
58537.05,4583,343,835,232,281,166,1428,329,251,1368,508
58961.99,2751,224,346,301,218,85,671,555,5,652,545
124096.35,6646,233,594,313,476,161,2011,11,259,1869,201
78138.05,6954,304,1499,1073,250,47,1160,2080,0,2274,938
67281.11,5693,203,1213,461,78,98,1447,754,0,1564,569
109643.29,2771,43,209,158,329,46,802,158,66,811,201
89397.36,4959,1068,686,104,66,38,1753,309,0,1552,348
96800.31,9510,0,19,116,505,1297,2240,370,0,2163,308
100417.62,10382,0,15,47,873,403,2642,75,0,2385,129
100450.35,2826,311,325,73,126,68,1026,17,1,935,70
56926.72,5020,1454,652,124,82,30,1363,1066,0,1268,1017
51687.65,10356,1142,1490,292,270,116,1492,3681,13,2462,2503
91241.75,565,44,66,43,46,27,271,4,0,258,4
73842.27,5633,1824,497,222,195,34,1443,1426,0,1292,1453
44460.71,11579,808,862,268,196,52,1240,1283,4,1120,1269
42256.41,4157,576,683,211,128,47,841,961,0,583,1093
93682.95,3929,346,439,158,101,44,1443,35,4,1293,132
42033.6,3535,722,603,146,91,17,122,1513,5,555,1015
95423.31,7791,115,634,503,871,464,1961,1239,4,2643,368
43679.34,6013,407,1469,124,124,14,981,1230,0,963,1178
51205.57,5106,455,1379,143,139,45,122,2104,0,803,1327
104071.17,5869,1216,628,94,61,0,1601,500,5,1506,476
52018.73,815,61,126,64,60,3,301,74,7,293,73
60920.41,1483,314,64,105,139,88,16,874,0,366,465
41504.43,3201,103,703,304,229,80,268,1324,5,519,959
48205.72,5835,98,1468,171,277,163,932,972,518,1534,734
101291.66,4044,0,1216,150,33,0,1469,40,0,1279,104
103157.43,3645,10,434,689,133,0,1213,126,3,1191,96
202199.21,2574,69,432,226,43,0,836,0,0,728,34
53072.21,5500,886,676,79,30,9,1016,696,0,1037,612
79930.7,2129,441,329,38,39,19,719,166,0,663,208
60084.88,6503,1389,679,306,152,51,2196,523,4,1754,849
41728.56,6209,1646,1028,195,147,43,515,2691,0,559,2439
115036.03,4641,0,15,66,816,236,1109,86,0,1005,76
51512.84,6776,463,638,1557,244,44,930,2219,4,1474,1545
109015.58,6505,245,1090,116,454,301,2499,26,0,2319,75
99086.95,3690,16,32,46,179,396,988,32,0,941,36
46199.27,3893,1013,388,131,33,22,1142,536,9,801,770
81500.12,4724,705,270,163,203,99,680,983,5,1080,495
85985.13,4652,264,457,270,343,151,1637,31,190,1568,134
91677.3,9290,232,957,681,502,200,2923,221,68,2398,619
103299.11,6788,42,41,22,1144,683,2166,0,0,1881,217
86943.16,2968,559,367,41,118,113,955,303,4,997,203
84749.84,4680,1159,404,181,24,4,1620,249,4,1357,387
110269.1,5622,266,783,617,332,94,1925,338,5,1978,253
186854.62,3290,875,84,40,130,31,790,458,5,815,366
82219.78,3714,238,233,208,322,144,1237,304,6,1028,366
59699.39,6263,2061,342,67,29,25,2222,386,5,1913,547
86874.8,5157,145,1401,123,22,24,1488,324,0,1411,332
59285.85,3594,1188,187,61,34,16,809,706,19,874,554
77075.34,7482,116,814,576,344,387,2149,1106,20,2015,1104
35973.89,5684,519,1098,204,93,40,1064,1107,3,924,1124
86129.92,6986,377,1149,228,143,277,2342,461,4,2254,446
55070.1,3483,663,589,131,65,10,697,799,0,504,894
72927.33,2589,305,334,231,126,35,662,453,5,658,419
128775.04,6493,0,0,0,231,566,2173,102,0,1921,177
47081.36,6791,1853,844,224,126,16,1904,1204,15,1642,1438
95021.76,5087,1058,169,160,433,451,26,2994,0,1463,1361
115338.42,5590,312,605,359,342,151,1691,437,0,1495,496
63075.32,1221,90,165,85,83,24,502,5,16,474,34
78786.2,8435,304,267,105,836,811,3368,119,3,3106,124
102317.12,4118,328,539,156,239,94,1307,37,204,1329,159
96165.08,6396,48,656,744,760,135,1843,562,0,1826,494
46996.04,6496,563,1440,441,296,318,499,3131,3,954,2199
101756.62,26305,31,30,23,30,93,6042,109,0,5128,372
91583.79,5054,13,0,0,533,847,1169,859,0,1413,458
31173.95,3052,417,309,124,250,142,394,949,0,540,710
57587.68,4745,1551,360,56,58,13,1207,1048,0,1034,1084
83870.63,3509,65,988,187,59,22,1303,77,0,923,404
81471.6,3151,694,241,26,14,0,754,235,0,806,151
94878.8,10818,27,283,254,99,533,1824,2270,1,3221,595
76450.17,4127,173,494,250,478,42,1396,88,4,1325,116
101802.89,5348,0,0,0,14,590,1523,11,0,1374,95
83015.02,9367,26,111,26,94,180,1530,1168,41,1891,552
59144.81,4894,828,683,143,116,29,1573,516,5,1296,696
47774.63,4094,80,131,56,355,262,173,1597,4,984,555
100597.51,8090,2,48,233,845,977,2154,560,0,2108,363
79750.66,6063,19,10,3,149,467,1310,730,0,1521,351
78244.16,2081,377,356,96,52,10,770,78,61,718,159
56816.85,5868,1826,698,236,109,27,1076,1875,3,1286,1581
83354.2,5279,655,1339,44,54,36,1854,310,0,1651,466
78104.81,7438,185,1160,581,361,121,2263,478,256,2496,390
68265.58,5008,607,819,179,175,53,1146,1168,5,1286,961
86815.73,5933,267,1334,378,231,60,1258,1172,41,1560,808
99801.36,8286,67,1361,428,534,347,2726,429,96,2665,469
0,0,0,0,0,0,0,0,0,0,0,0
87069.76,5638,47,956,160,454,157,1572,503,0,1346,646
68273.67,3163,73,46,7,30,163,734,534,0,523,603
37494.12,5533,1111,905,127,80,21,117,2218,61,653,1622
71736.03,1806,192,432,91,26,10,546,222,0,487,233
88962.55,7175,115,183,616,796,187,1897,444,11,1773,414
78742.39,3458,172,351,561,107,0,1064,150,5,1000,170
60782.85,2878,1084,114,33,55,22,1028,359,5,897,402
110911.01,5450,184,568,553,237,117,1777,61,7,1654,74
27848.8,973,370,74,15,21,0,21,479,5,33,453
111429.22,3690,170,651,130,97,28,874,308,3,977,182
72403.19,4526,190,827,184,143,38,1084,478,4,946,572
82815.94,4678,13,108,183,1035,166,1222,513,0,1385,266
74049.45,4111,163,342,331,356,83,1143,542,8,1101,391
65939.06,1125,341,136,10,16,0,409,97,5,380,105
37503.52,3200,734,410,195,138,44,447,1240,5,571,1040
134711.28,5400,221,349,461,693,111,1726,169,0,1563,234
100976.47,6353,417,816,487,410,105,1925,696,4,1741,766
77491.08,3950,494,342,204,141,136,1450,137,27,1314,249
100818.86,4695,102,1407,67,22,0,1400,248,0,1279,235
41629.71,5450,868,748,180,144,38,615,1404,0,748,1213
32179.52,6054,817,1148,243,126,20,579,1840,0,604,1669
102634.02,6938,329,831,332,507,276,2155,550,0,2149,480
113077.56,3374,11,694,482,33,10,1048,207,0,1180,65
86994.82,14084,3,8,8,44,942,4258,867,0,4045,588
43306.49,1886,398,166,198,55,24,248,590,5,266,545
58826.35,5525,1568,421,116,40,77,938,1382,9,1350,895
58150.8,4722,1769,278,27,4,0,1957,149,4,1625,426
74195.29,5886,59,907,574,132,12,986,961,0,1254,550
104828.88,6879,25,156,1100,697,88,2332,38,0,2083,183
80275.29,1259,347,81,13,44,12,463,67,5,459,54
103286.18,5347,0,5,5,83,1055,1617,28,6,1433,108
60206.46,3095,1116,151,17,23,0,1273,119,14,1078,233
54897.8,5067,437,1337,500,442,83,180,2930,0,835,1904
51820.47,3700,1047,404,84,61,18,789,921,16,845,765
91800.59,10969,34,12,9,82,1106,2853,234,0,2535,313
102365.86,4705,18,319,408,243,279,1071,459,0,1213,238
106121.71,5570,36,1585,165,90,10,1941,123,0,1769,285
96843.86,6469,1670,654,61,20,17,1136,1558,5,1891,636
77608.16,4296,30,780,547,86,18,1224,323,0,850,576
54544.39,3998,929,459,210,108,31,693,1159,4,802,966
131192.57,3670,0,0,55,808,174,1109,11,0,1026,52
73071.74,4945,593,1108,204,141,50,1741,453,5,1647,529
64375,16,1,6,1,0,0,9,0,0,4,4
101811.06,2503,65,525,74,100,56,754,92,101,834,75
76792.86,3706,49,1047,131,75,86,989,441,0,940,441
49731.23,5071,792,573,122,86,48,1126,728,3,1012,713
40028.73,4684,760,1065,163,211,55,922,1571,17,1011,1485
53451.87,4869,1021,1465,183,191,43,58,3066,4,722,2231
87214.88,3363,47,627,326,277,42,1147,408,4,1077,417
71731.35,4319,146,161,239,382,132,359,1007,6,823,469
60396.41,1347,100,383,46,45,11,459,132,0,429,155
45728.19,3977,451,666,237,30,110,365,1268,0,800,770
103536.27,6811,1339,840,136,108,75,1656,1049,6,1568,998
84585.55,6349,56,677,390,231,138,869,865,0,1109,489
63342.5,4631,47,383,274,1108,194,368,1970,1,1373,844
39750.2,1233,82,165,77,147,10,482,0,56,488,54
64038.01,1776,286,214,100,65,24,691,123,13,611,202
59057,4533,380,445,208,262,144,367,1258,0,865,670
79338.48,4952,46,576,650,93,18,1041,389,0,1158,183
58147.77,5012,1172,352,157,280,45,1126,1002,4,1208,829
42014.56,2912,542,438,35,56,46,332,816,0,477,611
52078.83,3761,574,985,70,193,45,58,1820,14,755,1054
51826.22,4779,780,653,211,261,76,839,1300,4,1020,1045
78354.37,4287,347,508,181,139,95,414,1115,11,874,539
25761.34,6865,122,915,354,108,197,75,2841,5,712,1781
130801.41,4556,0,20,83,669,405,1532,0,0,1414,45
91386.79,4033,1070,345,47,22,7,1275,319,0,957,537
81703.52,1888,17,149,26,33,125,456,428,0,261,525
75605.82,7498,9,91,393,1103,336,1563,805,0,1423,753
40504.7,4173,848,795,102,60,0,0,1895,20,412,1396
55580.38,3229,0,19,91,796,154,513,978,0,938,184
333387.12,3165,943,48,3,10,10,966,59,4,898,103
32811.74,7127,475,1637,816,691,220,574,3466,1,424,3302
85643.65,6857,379,2317,91,30,0,1285,1646,5,2235,490
72313.39,1743,250,227,109,60,40,691,72,5,525,205
73250.6,6403,259,463,704,695,135,2055,424,42,1943,503
83632.81,116,1,10,9,12,4,32,5,8,0,0
138111.4,7315,14,21,23,448,933,2153,211,0,2021,157
42065.9,5080,870,754,109,175,32,1072,911,5,1048,879
147070.5,3366,497,264,76,176,169,598,868,0,961,401
45186.56,4947,714,1094,194,86,24,194,1977,0,804,1274
53843.87,3572,104,1021,90,106,28,957,488,0,825,511
37230.33,6448,1525,661,164,54,140,1009,1629,15,1230,1245
122008.45,5965,1800,239,57,94,20,1544,848,0,1540,710
60415.24,5200,304,1114,450,180,76,698,1768,4,1268,1069
83416.54,3573,103,623,216,215,42,1181,148,6,1049,195
77836.12,1892,214,302,111,107,26,720,39,98,714,80
74977.96,9034,198,1262,460,585,478,2584,1166,159,2288,1347
42593.7,6848,1601,1032,101,63,0,1797,1086,4,1149,1569
56868.78,6569,735,768,265,353,183,2135,618,131,2053,728
103213.81,5543,11,583,1152,99,0,1867,44,0,1465,320
46068.24,5251,116,502,979,513,209,742,1691,5,1106,1251
66183.53,5560,84,792,609,282,34,1529,337,0,1250,554
75606.2,7249,383,1091,460,549,167,2658,121,295,2555,435
68564.66,5654,76,1432,186,66,174,945,1062,0,1666,221
109842.49,943,163,78,50,13,18,351,5,0,328,33
135356.26,7199,382,1095,764,264,134,1782,1021,0,2427,242
70000,173,0,10,35,9,0,54,6,0,51,0
49886.89,2122,417,443,38,100,0,471,578,3,455,585
76213.04,3412,31,1051,253,47,11,1239,200,4,971,372
73186.76,2937,66,454,65,76,61,754,220,0,727,202
113059.85,4006,0,72,167,625,279,1163,162,0,1105,169
70539.76,2924,141,441,291,162,36,988,143,0,639,422
77053.21,10947,84,449,1193,1230,570,2793,1488,5,2630,1333
38754.23,1676,610,215,97,74,3,30,989,5,214,803
82917.03,7632,409,715,314,417,170,2513,18,214,2183,367
106095.86,3376,606,144,102,154,60,725,563,0,721,442
67548.66,6169,42,1281,429,175,10,1465,623,0,1050,955
55621.47,7307,1178,1371,425,294,130,1342,2504,3,1485,2017
143578.95,1099,137,41,80,83,17,417,6,0,324,24
50551.24,3066,241,786,286,156,62,402,1236,6,581,1011
92191.06,5891,18,670,245,352,386,1761,276,6,1663,284
50881.65,4166,1165,663,197,223,93,604,1893,30,661,1630
33421.18,6005,438,1077,212,97,16,1142,751,0,557,1227
41426.38,4917,505,1601,263,35,0,204,2239,0,601,1760
96721,1904,662,103,11,7,7,725,86,0,683,124
103626.01,8274,0,0,42,648,785,1741,1419,0,2542,389
72311.62,3474,516,616,155,88,21,1123,348,5,908,477
114256.44,7931,9,10,0,57,1425,2436,0,0,2013,203
54743.34,4208,489,410,178,84,22,887,926,77,615,1109
93311.86,4940,284,743,303,168,91,1858,18,6,1641,141
54550.22,7552,112,2022,423,148,70,1564,1402,0,1618,1134
56297.8,5223,427,1229,352,296,27,1134,1377,5,1302,1152
81741.34,2248,679,174,21,0,0,853,50,0,614,264
56868.66,4644,1175,692,118,116,38,1321,873,4,1245,886
104325.53,4945,97,286,496,548,87,1314,403,0,1420,195
101038.23,8161,323,439,168,150,57,2441,464,7,2225,464
86413.44,3864,18,932,155,147,22,1304,38,0,1046,197
63619.43,4057,159,1016,209,29,42,497,1020,6,1004,445
47478.64,2365,786,183,115,38,46,5,1194,5,331,795
67055.39,3559,609,507,121,89,16,858,681,0,748,679
74464.11,7904,28,187,541,998,356,693,1697,0,1405,959
89732.54,8098,807,1100,459,203,78,1550,1391,4,1777,1027
29478.56,2162,674,418,138,104,9,267,1088,10,329,1008
106079.96,5571,0,0,3,131,970,1796,233,0,1641,236
56521.76,5372,90,743,623,217,76,1420,693,11,1417,624
98239.11,4335,20,121,719,579,30,1151,343,0,997,447
85514.35,3726,211,621,152,203,93,1368,38,97,1154,245
70466.04,3722,63,614,440,294,23,1394,96,0,1026,366
113651.98,4820,228,556,250,219,149,1589,41,10,1343,216
82853.05,6445,678,932,160,164,349,1961,491,0,1758,539
55866.24,6288,445,1280,435,329,346,1116,2219,34,1832,1363
121407.75,3131,10,1042,15,0,9,1109,6,0,986,56
52334.1,7490,1498,594,218,95,72,1507,1650,20,1696,1266
83597.29,4494,648,982,104,11,0,1553,228,0,1426,251
83490.53,2453,43,506,80,146,57,767,192,0,464,379
107122.72,12151,55,228,140,315,804,3662,114,6,3145,353
108403.77,6017,270,282,351,359,397,2058,16,1,1933,93
95494.15,3531,3,247,916,165,0,979,355,0,958,298
76698.7,4536,1365,196,211,69,16,1423,535,5,1320,515
78319.94,7163,51,277,620,642,205,1098,1326,0,1617,663
47763.28,828,242,35,13,30,60,0,469,0,205,191
139393.04,5985,47,224,748,439,150,1598,409,5,1689,125
70068.15,4335,491,854,268,232,36,1358,585,1,1123,778
133929,4704,1456,213,38,40,20,1531,307,5,1454,345
71427.72,7397,741,1384,347,233,52,1715,1147,4,1674,960
79706.61,5319,80,1484,127,72,55,1495,514,0,1509,433
52892.01,6689,358,1940,159,107,42,908,1813,0,1112,1399
57968.64,5859,860,930,294,198,132,1242,1735,0,1340,1353
101859.12,9037,337,205,141,568,665,2859,143,0,2601,207
107709.61,5674,0,17,20,567,820,1686,382,0,1703,198
139673.54,3077,336,430,33,39,30,1007,16,0,849,84
93785.49,5257,360,965,214,134,45,921,964,0,885,871
63479.27,7922,38,992,453,900,380,1879,1359,0,1904,994
70000,22,0,2,1,0,0,8,0,0,3,1
77743.75,2592,875,158,42,53,0,891,252,5,818,324
46028.53,7333,751,850,121,73,36,1253,1193,0,1226,1021
95770.63,3583,145,687,258,140,101,1092,351,13,1245,196
42134.12,3875,1269,488,95,47,15,346,1613,0,546,1275
73491.14,810,0,0,0,30,233,91,320,0,346,51
98666.65,4980,726,714,244,246,48,959,1272,5,1196,916
80310.71,6711,0,57,219,1317,83,1692,83,0,1318,328
67054.76,7230,280,464,966,415,100,1551,1017,0,1729,716
96791.2,7457,64,856,350,129,205,2569,70,0,2125,320
60718.45,4310,615,254,121,326,146,1786,36,5,1645,120
44067.03,2240,566,317,75,126,55,55,1233,0,285,910
184071.39,3805,0,11,74,837,189,1192,0,0,1093,13
46594.96,4627,659,966,317,167,43,1138,1187,16,1295,977
83492.41,4192,347,499,231,161,161,1497,74,156,1523,108
85554.17,4718,390,538,202,166,137,1783,26,6,1563,168
149762.36,3101,1084,91,7,7,0,727,476,8,703,463
41794.27,2442,812,272,72,91,0,16,1339,0,261,1006
103158.72,4811,47,438,163,553,316,1417,380,0,1631,101
101517.67,7775,126,247,159,234,743,2181,242,5,1982,282
41773.24,366,9,33,22,9,3,92,14,11,77,16
42458.29,4588,791,1007,354,117,14,706,1614,5,634,1529
103892.92,3655,1117,85,11,42,103,1158,278,5,1138,208
43234.83,853,325,33,3,10,0,337,36,0,316,52
59078.5,1220,256,133,41,17,36,303,196,0,347,152
91754.29,5182,246,645,205,170,164,1761,147,5,1586,201
91815.21,3145,43,1018,41,20,0,1162,5,0,916,172
101286.5,13461,29,222,691,702,246,3624,484,0,3091,538
70315.38,3570,30,316,481,93,19,853,114,0,581,322
207877.99,933,207,90,10,21,3,331,15,5,305,41
46965.6,8049,1496,991,387,429,132,216,4143,6,1629,2461
84893.18,5789,341,437,240,322,134,600,1235,0,1239,495
77820.88,3303,693,527,54,40,3,940,394,0,818,474
137106.13,11636,21,505,301,412,425,3528,190,0,2947,500
38453.21,1676,509,231,54,31,15,249,715,5,370,554
45646.25,5651,352,1129,221,77,132,1144,1176,0,1087,1058
43739.21,5383,334,1216,346,258,50,627,1661,4,632,1584
68810.15,7266,472,926,370,285,368,1577,1294,0,1914,847
91853.75,7998,280,696,120,271,544,1988,1318,2,1605,1388
84981.63,2773,21,338,218,199,60,995,21,27,932,43
87956.77,9145,83,572,918,521,430,2324,1064,80,2520,774
35603.61,5743,1210,578,119,97,17,1818,384,3,818,1224
111638.71,10413,8,21,268,648,1015,3072,73,0,2665,305
93216.47,3109,236,72,12,11,52,712,286,16,834,90
54005.67,5796,1021,918,95,192,28,765,1547,0,903,1277
137154.79,4936,586,798,95,27,31,1671,22,0,1519,75
107540.14,6569,60,463,295,366,370,1800,7,587,2083,161
195643.88,5469,1814,245,67,129,266,913,1726,5,1663,828
669559.56,2024,549,58,10,3,10,646,10,0,634,19
57679.37,4082,410,813,152,218,28,1188,579,5,969,764
100000,2953,779,388,56,21,11,1246,36,0,1114,145
87223,3174,1120,160,52,22,3,1058,338,0,997,312
53805.28,5241,44,750,375,439,274,821,1504,0,618,1492
46533.63,2800,868,169,59,44,16,442,752,0,423,662
56138.53,5014,648,1076,312,219,25,821,1491,0,1016,1241
61283.46,4600,243,1180,253,82,86,519,1423,0,904,874
90611.69,4053,0,130,735,220,24,873,281,0,865,201
47560.67,7890,404,1423,577,526,272,1705,1990,7,1487,2029
57478.77,676,77,69,63,34,29,258,8,26,282,12
70267.5,4377,68,819,115,276,40,846,526,19,1131,171
77356.66,9539,345,732,602,562,454,2474,1608,11,3065,843
60597.21,5714,1046,862,92,76,55,1493,874,4,1340,975
75967.16,7442,1126,914,314,349,78,1780,1661,3,1643,1513
60595.45,2937,43,871,108,22,0,884,102,68,652,367
107315.47,4319,290,332,520,381,99,1362,402,4,1486,257
51669.34,2861,380,593,81,24,18,466,643,0,369,699
86895.59,1347,182,111,45,9,13,460,0,20,403,14
97609.4,4164,270,822,57,40,33,859,443,0,962,303
91469.65,4389,910,800,90,36,3,433,1681,0,643,1347
121737.44,6619,262,554,282,400,189,2125,51,7,1906,129
50421.59,1224,109,165,84,108,35,511,0,27,484,30
88069.33,4886,55,567,665,212,114,1622,5,166,1687,42
100683.99,7399,17,205,898,1052,73,2230,136,5,1866,332
76516.68,3325,1024,269,45,60,21,733,797,0,961,537
38652.68,525,3,32,61,32,20,190,6,0,32,0
81335.83,2356,46,488,227,36,3,805,10,0,597,177
53512.35,4378,307,713,323,278,87,929,1077,19,997,937
103438.39,5883,36,89,705,618,38,1921,43,4,1677,142
91562.74,6764,939,634,279,203,64,2260,59,54,1956,285
74908.2,3470,243,317,262,198,76,1076,190,91,1060,211
110946.83,2524,556,55,51,175,36,696,280,0,774,120
68714.34,6173,641,1402,442,181,45,1664,1139,9,1398,1332
132478.7,56,0,10,0,3,0,14,6,3,9,3
58489.89,3787,150,869,119,48,9,531,705,0,626,502
123341.03,4234,323,674,162,46,40,1475,158,0,1321,196
43236.58,2580,284,529,71,68,40,396,736,1,422,659
90821.24,6841,716,535,136,272,307,1521,1631,5,1558,1339
0,155,0,0,0,0,0,0,0,0,0,0
28670.84,2141,872,206,53,39,3,141,1134,10,307,971
64495.67,6370,324,1041,527,86,21,1433,720,0,1416,602
55940.57,4592,1763,256,53,12,7,1795,334,4,1510,505
58236.88,4236,1488,275,165,53,5,371,1609,31,747,1141
34809.11,5689,1068,1543,213,189,66,306,2991,4,581,2438
119524.64,2999,113,648,121,46,13,745,231,0,862,97
38159.39,7781,728,1479,246,237,122,796,2147,6,1055,1730
54261.85,3980,175,1069,360,179,73,1987,32,0,1849,84
72392.69,7931,285,1455,710,432,46,1388,1659,0,1798,1159
40900.16,3973,437,508,321,159,92,332,1409,58,616,1065
53145.32,5218,734,1679,268,180,48,1176,1783,0,1459,1415
74439.83,4761,1018,950,99,130,22,1698,551,5,1679,548
52464.73,4832,1030,638,300,236,44,384,2060,4,764,1533
108006.24,3930,0,0,0,42,80,926,493,0,710,569
90906.43,2027,0,0,204,137,173,534,31,0,518,24
46305.46,2512,388,549,135,57,0,409,865,0,501,681
39065.87,1844,487,321,129,29,11,260,743,0,273,722
84990.74,2288,244,360,103,131,43,865,75,4,783,153
49015.8,4293,193,693,329,261,173,848,1045,4,533,1273
117081.81,7228,15,0,15,64,830,1500,605,0,1726,297
97834.95,9383,23,38,57,649,877,2110,170,0,1919,159
50900.05,936,112,120,74,45,15,298,106,0,279,129
35631.83,4973,223,782,311,247,64,459,1275,0,138,1492
90000,3106,170,808,191,44,13,1206,30,0,1044,140
47985.79,7514,787,1209,754,551,287,1113,2656,29,1684,1896
134669.43,7704,229,396,335,509,369,2482,48,124,2318,149
114189.81,13950,79,67,29,372,832,4130,594,0,3849,558
92567.7,3698,455,752,12,38,12,1278,34,0,960,246
32302.96,1437,433,151,31,33,0,390,277,3,276,380
89036.88,7188,557,824,525,380,186,2809,51,14,2526,176
34171.22,2226,360,454,72,75,10,452,714,39,335,755
88503.15,2977,0,5,10,609,256,825,288,0,837,178
100431.83,9372,0,43,112,1737,288,3030,68,0,2316,492
84789.54,5578,22,928,1065,285,34,1266,1081,2,1623,669
90240.73,4307,90,391,439,343,99,1078,475,36,1200,305
49314.63,3831,224,1090,123,35,0,57,1442,0,550,904
80507.56,3647,114,307,337,379,115,1151,334,4,1111,275
57338.38,8336,434,773,629,532,455,2703,1169,52,2800,932
73090.12,5160,698,728,76,86,123,1135,628,0,1270,386
49339.26,5436,638,850,506,131,70,983,1502,43,1082,1353
65231.91,3201,388,801,202,212,42,139,1621,0,583,1098
35545.01,4035,978,352,175,118,43,330,1438,16,562,1076
75022.56,11093,600,160,163,679,970,277,6485,23,3171,3009
86818.56,10074,2,80,386,1321,472,2361,752,0,2126,720
132601.57,3455,0,13,39,328,156,1146,12,0,942,77
100207.03,7883,299,746,430,225,80,2493,114,6,2117,206
104937.21,10797,164,1080,450,325,284,3435,303,141,2920,571
62298.74,5089,80,763,800,99,41,1209,615,0,1348,409
93296.3,3691,1171,83,27,16,32,1128,313,5,1093,258
42706.14,4770,1024,652,175,100,108,566,1585,18,701,1399
85000,15,1,3,1,1,0,7,0,0,4,3
119297.07,6971,16,1644,52,157,318,2009,727,15,2211,360
40538.23,4938,219,1577,460,153,36,299,2210,0,591,1825
66998.21,6779,662,1000,452,143,57,2058,830,4,1707,926
98480.89,4612,261,309,418,341,151,954,670,0,1252,332
128587.42,7029,459,674,588,445,221,2577,93,0,2419,191
67866.36,1714,708,91,21,11,0,627,219,4,539,249
83307.79,8635,17,137,1094,565,330,1470,1901,0,2106,867
